Nome Aceito,Sinônimo
Sida anomala
Malva spicata,Melochia spicata
Eleocharis barrosii
Bacopa stricta
Luffa operculata
Phytolacca thyrsiflora
Oryza glumaepatula
Bulbostylis capillaris
Urochloa decumbens,Brachiaria decumbens
Cressa truxillensis
Ludwigia decurrens
Prunella vulgaris
Utricularia nana
Conyza sumatrensis
Panicum repens
Sorghum bicolor
Lilaea scilloides
Hyptis tetracephala
Bacopa aquatica
Eleocharis elongata
Paspalum repens
Senecio bonariensis
Bidens laevis
Cyperus rigens,Cyperus laetus
Myriophyllum quitense,Myriophyllum elatinoides
Vismia cayennensis
Utricularia nervosa
Nymphaea caerulea
Nymphaea lotus
Achyrocline alata
Floscopa glabrata
Lasiacis procerrima
Byttneria ramosissima
Sagittaria lancifolia
Schultesia guianensis
Nymphaea pulchella
Ipomoea wrightii
Montrichardia arborescens
Pterocaulon balansae
Eragrostis japonica
Pavonia grandiflora
Achetaria ocymoides
Mecardonia serpylloides,Bacopa serpylloides
Cabomba aquatica
Cyperus amabilis
Ludwigia nervosa
Chrysolaena platensis
Rhynchanthera serrulata
Fuirena robusta
Homolepis aturensis
Scleria distans
Goeppertia comosa,Calathea comosa
Blainvillea dichotoma
Aristolochia trilobata,Aristolochia macroura
Stylosanthes gracilis
Campuloclinium purpurascens
Thalia multiflora
Schultesia brachyptera
Genlisea filiformis
Aeschynomene filosa
Monteiroa ptarmicifolia
Nymphaea jamesoniana
Eleocharis minarum
Eryngium ekmanii
Hymenachne grumosa,Panicum grumosum
Rhynchospora riparia
Burmannia flava
Echinodorus longipetalus
Ipomoea philomega
Bacopa rotundifolia
Limnocharis laforesti,Limnocharis laforestii
Bulbostylis sellowiana
Rugoloa pilosa
Rhynchospora nervosa
Acisanthera variabilis
Isoetes brasiliensis
Dioclea guianensis
Oxalis barrelieri
Echinodorus palaefolius
Acanthospermum hispidum
Discolobium leptophyllum
Eriocaulon magnificum
Eleocharis debilis
Senecio erisithalifolius
Echinodorus glaucus,Echinodorus teretoscapus
Sacciolepis striata
Ludwigia densiflora
Ludwigia longifolia
Echinodorus reticulatus
Luziola spruceana
Pleroma oleifolium,Microlepis oleifolia
Anthaenantia lanata,Leptocoryphium lanatum
Barrosoa candolleana,Eupatorium candolleanum
Micranthemum umbrosum
Cladium mariscus,Cladium jamaicense
Acalypha poiretii
Epidendrum dendrobioides
Spirodela intermedia
Sida acuta
Ischaemum guianense
Sauvagesia erecta
Utricularia hydrocarpa
Rhynchospora brittonii
Lemna minuta
Ruellia bahiensis
Olyra longifolia
Vitex megapotamica
Elatine lindbergii
Hygrophila costata
Mauritia carana
Helanthium bolivianum,Echinodorus bolivianus
Bulbostylis juncoides
Stylosanthes viscosa
Sesbania exasperata
Rhynchospora trispicata
Pavonia angustifolia
Utricularia gibba
Sporobolus virginicus
Aeschynomene rudis
Tetralocularia pennellii
Aciotis ornata
Abildgaardia ovata
Ipomoea carnea,Ipomoea fistulosa
Chamaecrista nictitans
Cyperus aggregatus,Cyperus cayennensis
Sisyrinchium vaginatum
Isachne polygonoides
Goeppertia capitata,Calathea capitata
Reimarochloa acuta
Mandevilla tenuifolia
Sida setosa
Rhynchosia minima
Pleroma asperior,Tibouchina asperior
Gaylussacia brasiliensis
Melochia graminifolia
Eriocaulon modestum
Vigna luteola
Carex pseudocyperus
Paspalum ligulare
Utricularia physoceras
Nymphaea odorata
Canna indica
Stylosanthes guianensis
Piper fuligineum
Mayaca sellowiana
Utricularia triloba
Byrsonima intermedia
Buchnera palustris
Ludwigia irwinii
Cenchrus echinatus
Goeppertia loeseneri,Calathea loeseneri
Emilia sonchifolia
Spartina densiflora
Urochloa brizantha,Brachiaria brizantha
Desmodium adscendens
Lobelia hederacea,Pratia hederacea
Allamanda nobilis
Varronia multispicata,Cordia multispicata
Ipomoea quamoclit
Urochloa humidicola
Ipomoea indivisa
Callitriche deflexa
Paspalum millegrana
Paspalum denticulatum
Mikania periplocifolia
Cuphea circaeoides
Cyperus haspan
Chamaecrista diphylla
Scleria bracteata
Becquerelia cymosa
Eryngium pandanifolium
Echinodorus lanceolatus
Imperata tenuis
Cuphea racemosa
Chascolytrum calotheca,Poidium calotheca
Comolia villosa
Paspalum vaginatum
Cyperus surinamensis
Mauritiella armata
Tibouchina herbacea
Ludwigia peruviana
Bulbostylis truncata
Drosera communis
Collaea speciosa
Ocimum campechianum
Burmannia australis
Utricularia reniformis
Corchorus argutus
Cordia tetrandra
Melochia arenosa
Sesbania punicea
Rhynchanthera hispida
Cyrtopodium paludicolum
Iseia luxurians
Amaranthus spinosus
Hydrocleys parviflora
Habenaria bractescens
Alternanthera tenella
Axonopus leptostachyus
Eleocharis nudipes
Piriqueta cistoides
Cyperus compressus
Eleocharis radicans
Heliconia psittacorum
Merremia umbellata
Phyllanthus fluitans
Utricularia olivacea
Nymphaea rubra
Hyptis atrorubens
Melochia villosa,Melochia hirsuta
Juncus densiflorus
Cyperus distans
Varronia curassavica,Cordia curassavica
Praxelis sanctopaulensis
Clitoria laurifolia
Chaetogastra gracilis,Tibouchina gracilis
Najas microcarpa
Eleocharis capillacea
Lobelia xalapensis
Eclipta prostrata
Thalia geniculata
Lobelia nummularioides
Commelina erecta
Eleocharis plicarhachis,Eleocharis elata
Rhynchospora barbata
Fimbristylis aestivalis
Utricularia adpressa
Hyparrhenia rufa
Jacquemontia heterantha
Echinochloa polystachya
Piper caldense
Adesmia latifolia
Ludwigia caparosa
Ditassa hastata
Acisanthera alsinaefolia
Hyptis lacustris
Byttneria scabra
Landoltia punctata
Oxypetalum pachyglossum
Sauvagesia racemosa
Utricularia fimbriata
Hydrolea spinosa
Limnocharis flava
Paspalum wrightii
Echinodorus subalatus,Echinodorus andrieuxii
Senna corymbosa
Sagittaria montevidensis
Dalechampia scandens
Eleocharis subarticulata
Alternanthera aquatica
Erythrina crista-galli
Cissampelos andromorpha
Proserpinaca palustris
Fimbristylis cymosa
Limonium brasiliense
Macroptilium lathyroides
Rhynchospora schomburgkiana
Oryza latifolia
Senecio tweediei
Eulophia alta
Lilaeopsis tenuis
Dinebra scabra
Indigofera hirsuta
Baccharis junciformis,Baccharis usterii
Polypogon elongatus
Nymphaea mexicana
Ludwigia helminthorrhiza
Echinodorus longiscapus
Tournefortia bicolor
Lobelia fistulosa
Byttneria genistella
Centratherum punctatum
Paspalum glaucescens
Trichanthecium parvifolium,Panicum parvifolium
Elephantopus mollis
Hydrocleys martii
Cipura paludosa
Aciotis acuminifolia
Desmodium tortuosum
Melasma melampyroides
Hyptis caespitosa
Ipomoea batatas
Triumfetta althaeoides
Clidemia capitellata
Cantinoa mutabilis,Hyptis mutabilis
Ludwigia multinervia
Scoparia montevidensis
Hebanthe pulverulenta,Pfaffia pulverulenta
Paspalum densum
Conyza bonariensis
Trichanthecium nervosum
Reimarochloa brasiliensis
Ipomoea subrevoluta
Acalypha arvensis
Trichanthecium pyrularium
Cardamine bonariensis
Andropogon selloanus
Vernonanthura brasiliana
Euploca procumbens,Heliotropium procumbens
Drosera intermedia
Urochloa mutica,Brachiaria mutica
Paspalum morichalense
Andropogon bicornis
Hydrolea elatior
Helanthium tenellum,Echinodorus tenellus
Nymphaea oxypetala
Echinodorus grandiflorus,Echinodorus argentinensis
Scoparia dulcis
Olyra ecaudata
Conobea aquatica
Echinodorus paniculatus
Eleocharis geniculata
Cyperus flavescens,Cyperus polystachyus,Pycreus flavescens
Operculina hamiltonii
Sagittaria sprucei
Stemodia durantifolia
Cyperus lanceolatus
Mandevilla clandestina
Heliotropium indicum
Odontadenia nitida
Rhynchospora gigantea
Chloris exilis
Symphyotrichum squamatum,Aster squamatus
Cotula coronopifolia
Juncus scirpoides
Ludwigia peploides
Syngonanthus anomalus
