Nome aceito,Cidade,Estado,País,Latitude,Longitude
Sida anomala,Aiuaba,Ceará,Brasil, -6.57360982894897, -40.1236000061035
Sida anomala,,,BRAZIL, -10.8339, -52.8731
Sida anomala,Bonito,Mato Grosso do Sul,Brasil, -21.1211, -56.4819
Sida anomala,,,Brasil,,
Sida anomala,Mercedes,Corrientes,Argentina,,
Sida anomala, Subst. arenoso,Jijoca de Jericoacoara,Ceará,Brasil, -2.89499998092651
Sida anomala,Ibiquera,Bahia,Brasil, -12.463056, -40.978056
Sida anomala,,,Brazil,,
Sida anomala,Dep. Lavalle,Corrientes,Argentina,,
Sida anomala,Aquidauana,Mato Grosso,Brazil,,
Sida anomala,,Ceará,Brasil,,
Sida anomala,Upanema,Rio Grande do Norte,Brasil, -5.591667, -37.308333
Sida anomala,Guaraciaba do Norte,Ceará,Brasil, -4.16694021224976, -40.747501373291
Sida anomala,,,BRAZIL, -10.8339, -52.8731
Sida anomala,Serra do Mel,Rio Grande do Norte,Brasil, -5.266667, -37.125
Sida anomala, em direção a Ilha do Ferro.,Pão de Açucar,Alagoas,Brasil, -9.749378
Sida anomala,,,?,,
Sida anomala, próx. a um terreno alagado,Senador Pompeu,Ceará,Brasil, -5.58805990219116
Sida anomala,,,Brazil,,
Sida anomala,,,Brasil,,
Sida anomala, a 2 km da zona urbana.,Santana do Ipanema,Alagoas,Brasil, -9.37833023071289
Sida anomala,,,?,,
Sida anomala,Uruguaiana,RS,Brasil, -29.7546997070312, -57.0882987976074
Sida anomala,Caucaia,Ceará,Brasil, -3.73610997200012, -38.6530990600586
Sida anomala, antiguo camino a Curuzu Cuatia, Co Pajarito.,Mercedes,Corrientes,Argentina
Sida anomala,,,Argentina,,
Sida anomala,Anastácio,Mato Grosso,Brazil,,
Sida anomala,Água Branca,Alagoas,Brasil, -9.26082992553711, -37.9361000061035
Sida anomala, em local de pasto.,Estrela de Alagoas,Alagoas,Brasil, -9.383333
Sida anomala, in insula Cubana, in ditione Mexicana et Texana,,,?
Sida anomala,,Pernambuco,Brasil,,
Sida anomala,Pão de Açúcar,Alagoas,Brasil, -9.704444, -37.54
Sida anomala,Pão de Açúcar,Alagoas,Brasil, -9.7925, -37.134167
Sida anomala,Porto Murtinho,Mato Grosso,Brazil,,
Sida anomala,,,Argentina,,
Sida anomala,,Ceará,Brasil,,
Sida anomala,Bela Vista,Mato Grosso do Sul,Brasil, -22.1089000701904, -56.5210990905762
Sida anomala, área de Fortaleza,Caucaia,Ceará,Brasil, -3.73610997200012
Sida anomala,Aquidauana,Mato Grosso,Brazil,,
Sida anomala,Parambu,Ceará,Brasil, -6.042778, -40.673056
Sida anomala, a 2 km da zona urbana.,Santana do Ipanema,Alagoas,Brasil, -9.365
Sida anomala, área degradada.,Arapiraca,Alagoas,Brasil, -10.256944
Sida anomala,,,BRAZIL, -10.8339, -52.8731
Sida anomala, BR-070, km 623.,POCONE,MT,Brasil
Sida anomala, nascente do Rio Mossoró, próximo a residência do Sr. Luíz Belo.,Luís Gomes,Rio Grande do Norte,Brasil
Sida anomala,Iguatu,Ceará,Brasil, -6.333333, -39.383333
Sida anomala,,,Paraguay,,
Sida anomala,São Luís,Maranhão,Brasil, -2.52972006797791, -44.3027992248535
Sida anomala, Jockey Club,Fortaleza,Ceará,Brasil, -3.71722006797791
Sida anomala,Upanema,Rio Grande do Norte,Brasil, -5.591944, -37.308333
Sida anomala,Belo Horizonte,Minas Gerais,Brasil, -19.9207992553711, -43.937801361084
Sida anomala,,PiauÃ­,Brasil,,
Sida anomala,Remígio,Paraíba,Brasil, -7.82083, -38.1528
Sida anomala,Pão de Açúcar,Alagoas,Brasil, -9.728889, -37.513611
Sida anomala,,Miranda,Venezuela,,
Sida anomala,,Dep. Cordillera,Paraguay,,
Sida anomala,Caucaia,Ceará,Brasil, -3.73610997200012, -38.6530990600586
Sida anomala,,,Paraguay,,
Sida anomala,Quaraí,Rio Grande do Sul,Brasil, -30.3875007629395, -56.4514007568359
Sida anomala,,,?,,
Sida anomala, a 22km's da cidade em direção à Jaramataia.,Arapiraca,Alagoas,Brasil, -10.256944
Sida anomala,Aiuaba,Ceará,Brasil, -6.57360982894897, -40.1236000061035
Sida anomala,Oeiras,Piauí,Brasil, -7.0252799987793, -42.1310997009277
Sida anomala,,,?,,
Sida anomala,,,Brazil,,
Sida anomala, Jockey Club,Fortaleza,Ceará,Brasil, -3.71722006797791
Sida anomala,Crateús,Ceará,Brasil, -5.193611, -40.840333
Sida anomala,,,Brasil,,
Sida anomala,,,?,,
Sida anomala, Jockey Club, Solo laterítico,Campo Maior,Piauí,Brasil
Sida anomala,,Mato Grosso,Brazil,,
Sida anomala,Pão de Açúcar,Alagoas,Brasil, -9.74833011627197, -37.4366989135742
Sida anomala,Upanema,Rio Grande do Norte,Brasil, -5.591667, -37.308333
Sida anomala,,,?,,
Sida anomala,Upanema,Rio Grande do Norte,Brasil, -5.083333, -37.308333
Sida anomala,Serra do Mel,Rio Grande do Norte,Brasil, -5.266667, -37.125
Sida anomala,,Rio de Janeiro,Brasil,,
Sida anomala,Aracati,Ceará,Brasil, -4.56167, -37.7697
Sida anomala,Baturité,Ceará,Brasil, -4.32860994338989, -38.8847007751465
Sida anomala,MIRANDA,MS,BRASIL, -19.954444, -56.305278
Sida anomala, arredores de Bela Vista,Bela Vista,Mato Grosso do Sul,Brazil, -22.1089000701904
Eleocharis barrosii,,Santa Catarina,Brazil, -27, -50
Eleocharis barrosii,Cáceres,Mato Grosso,Brasil, -16.0706005096436, -57.6789016723633
Eleocharis barrosii, Substrato argiloso,Caridade,Ceará,Brasil, -4.186944
Eleocharis barrosii,Piracuruca,Piauí,Brasil, -3.92806005477905, -41.7092018127441
Eleocharis barrosii,,,Unknown,,
Eleocharis barrosii,Cáceres,Mato Grosso,Brasil, -16.0706005096436, -57.6789016723633
Eleocharis barrosii, comuniddae de Porto Limão. Fronteira BR-BO.,Cáceres,Mato Grosso,Brasil, -16.0706005096436
Eleocharis barrosii,Sousa,Paraíba,Brasil, -6.7591700553894, -38.228099822998
Eleocharis barrosii,6 km NNW of Padua Sales. Along brook, in marsh with now dryed soil. At brookside, and in brook.,,São Paulo
Eleocharis barrosii, near the eastern edge of the campos of Palmas,,Santa Catarina,Brazil,
Eleocharis barrosii,Caucaia,Ceará,Brasil, -3.73610997200012, -38.6530990600586
Eleocharis barrosii,,,Argentina,,
Eleocharis barrosii,,Santa Catarina,Brazil,,
Eleocharis barrosii, Áres 1- Linha 1 do levantamento fitossociológico,Piracuruca,Piauí,Brasil, -3.92806005477905
Eleocharis barrosii,Piracuruca,Piauí,Brasil, -3.92806005477905, -41.7092018127441
Eleocharis barrosii, Substrato arenoso-úmido.,Jijoca de Jericoacoara,Ceará,Brasil, -2.89499998092651
Eleocharis barrosii, área A1 do levamtamento fitossociológico,Piracuruca,Piauí,Brasil, -3.92806005477905
Eleocharis barrosii,,Rio Grande do Sul,Brazil,,
Eleocharis barrosii, linha 3A do levantamento fitossociológico,Piracuruca,Piauí,Brasil, -3.92806005477905
Eleocharis barrosii, Substrato arenoso-úmido.,Jijoca de Jericoacoara,Ceará,Brasil, -2.89499998092651
Eleocharis barrosii,Caucaia,Ceará,Brasil, -3.73610997200012, -38.6530990600586
Eleocharis barrosii,7 km NNW of Pádua Sales (300 m N of main house),,São Paulo,Brasil,
Eleocharis barrosii,Piracuruca,Piauí,Brasil, -3.92806005477905, -41.7092018127441
Eleocharis barrosii, Próximo à Jijoca, substrato arenoso-úmido.,Cruz,Ceará,Brasil
Eleocharis barrosii,Serra Talhada,Pernambuco,Brasil, -7.99194002151489, -38.2983016967773
Bacopa stricta, Fazenda Santa Elisa,Campinas,São Paulo,Brasil, -22.870251
Bacopa stricta,Indianópolis,Minas Gerais,Brasil, -19.0386009216309, -47.9169006347656
Bacopa stricta,Poconé,Mato Grosso,Brazil, -16.2567005157471, -56.6227989196777
Bacopa stricta,Ji - Paraná,Rondônia,Brasil,,
Bacopa stricta,Biritiba Mirim,SP,Brasil,,
Bacopa stricta,Guaratuba,Paraná,Brasil, -25.8827991485596, -48.5746994018555
Bacopa stricta, Lagoa 5, km 16, BA 052, lado NE,Anguera
Bacopa stricta,Santa Juliana,Minas Gerais,Brasil, -19.3085994720459, -47.5252990722656
Bacopa stricta,Itaberaba,Bahia,Brasil, -12.5275001525879, -40.3069000244141
Bacopa stricta,Americana,São Paulo,Brazil, -22.766667, -47.333333
Bacopa stricta, prÃ³ximo do lago azul.,Itaituba,ParÃ¡,Brasil, -9.366667
Bacopa stricta, no entorno da mata da Balança, área descampada.,Arcoverde,Pernambuco,Brasil
Bacopa stricta, Rio Palmeira, Est. de Minas Gerais,,,Brazil
Bacopa stricta,anguera,Bahia,Brasil, -12.183333, -39.15
Bacopa stricta,Belo Horizonte,Minas Gerais,Brasil, -19.9207992553711, -43.937801361084
Bacopa stricta,Paraopeba,Minas Gerais,Brasil, -19.2744007110596, -44.4042015075684
Bacopa stricta, km 113, perto da Ponte do Rio do Peixe (Ponte Nova),Ouro Verde,São Paulo,Brasil
Bacopa stricta, no Sítio Jangada,Presidente Epitácio,São Paulo,Brasil, -21.7633
Bacopa stricta,UBAÍRA,Bahia,Brasil, -13.2680997848511, -39.6627998352051
Bacopa stricta, 2 Córregos, a 500m do trevo da estrada SP, 304 lado esquerdo,Torrinha,São Paulo
Bacopa stricta,,,Brazil,,
Bacopa stricta, 5 hrs walk S of Chinoweing Village.,,,Guianas, -5.466667
Bacopa stricta,LINHARES,ES,BRASIL, -19.3910999298096, -40.0722007751465
Bacopa stricta,Corumbá,Mato Grosso do Sul,Brasil, -19.573625, -57.018611
Bacopa stricta,CORUMBÁ,MS,BRASIL, -18.999167, -56.663611
Bacopa stricta,,Bahia,Brasil,,
Bacopa stricta,Iracemápolis,São Paulo,Brasil, -22.58, -47.51
Bacopa stricta,Cambuquira,Minas Gerais,Brasil, -21.8521995544434, -45.2957992553711
Bacopa stricta,São Francisco do Prata,Minas Gerais,Brasil,,
Bacopa stricta,Itaguaçu,Espírito Santo,Brasil, -19.8019, -40.8556
Bacopa stricta, na estrada que passa pela fazenda São Miguel e sobe até o acesso a serra.,Barro Preto,Bahia,Brasil, -14.770278
Bacopa stricta,piritiba,Bahia,Brasil, -11.716667, -40.55
Bacopa stricta,Sumaré,São Paulo,Brasil, -22.82, -47.2597
Bacopa stricta,Porto Alegre,RS,Brasil, -30.0331001281738, -51.2299995422363
Bacopa stricta,Monnerat,Rio de Janeiro,Brasil,,
Bacopa stricta,CAMACAN,Bahia,Brasil, -15.4191999435425, -39.4958000183105
Bacopa stricta, São bento; campo inculto.,São Lourenço da Mata,Pernambuco,Brasil, -8.00222015380859
Bacopa stricta,Ibituruna,Minas Gerais,Brasil, -21.1525001525879, -44.7477989196777
Bacopa stricta, Mata da Balança, na trilha em direção à mata, área descampada.,Arcoverde,Pernambuco
Bacopa stricta,,Distrito Federal,Brasil,,
Bacopa stricta,São Paulo,São Paulo,Brasil, -23.5400009155273, -46.6300010681152
Bacopa stricta, entre os municípios de Caruaru e Agrestina. Em córrego atravessando a estrada.,,Pernambuco,Brasil, -8.3789444444
Bacopa stricta, perto da ponte, chegando próximo da cidade sentido Saubara-Santo Amaro.,Santo Amaro,Bahia,Brasil
Bacopa stricta,Aquidauana,MS,BRASIL, -19.85, -55.966667
Bacopa stricta,CORUMBÁ,MS,BRASIL, -18.983333, -56.65
Bacopa stricta,Cachoeira,Bahia,Brasil, -12.533333, -39.083333
Bacopa stricta,CORUMBÁ,MS,BRASIL, -18.996944, -56.666667
Bacopa stricta, Núcleo Caraguatatuba,Caraguatatuba,SP,Brasil, -23.6200008392334
