icliptera ciliaris
yschoriste maranhonis
ygrophila costata
ygrophila guianensis
ygrophila helodes
usticia comata
usticia aequilabris
usticia laevilinguis
ustia pectoralis
elsonia brunelloides
uellia bahiensis
uellia paniculata
esuvium portulacastrum
chinodorus andrieuxii
chinodorus argentinensis
chinodorus aschersonianus
chinodorus bolivianus
chinodorus cordifolius
chinodorus floribundus
chinodorus glandulosus
chinodorus grandiflorus
chinodorus grisebachii
chinodorus lanceolatus
chinodorus longipetalus
chinodorus longiscapus
chinodorus macrophyllus
chinodorus palaefolius
chinodorus paniculatus
chinodorus pubescens
chinodorus ranunculoides
chinodorus reticulatus
chinodorus scaber
chinodorus subalatus
chinodorus tenellus
chinodorus teretoscapus
elanthium tenellum
ydrocleys martii
ydrocleys nymphoides
ydrocleys parviflora
imnocharis flava
imnocharis laforestii
agittaria guayanensis
agittaria lancifolia
agittaria montevidensis
agittaria planitiana
agittaria rhombifolia
agittaria sprucei
lstroemeria isabellana
lternanthera aquatica
lternanthera brasiliana
lternanthera paronychioides
lternanthera philoxeroides
lternanthera pilosa
lternanthera tenella
maranthus spinosus
maranthus viridis
triplex montevidensis
triplex undulata
lutaparon portulacoides
hamissoa altissima
henopodium ambrosioides
omphrena demissa
omphrena elegans
ebanthe paniculata
faffia glomerata
faffia pulverulenta
faffia iresinoides
alicornia ambigua
alicornia gaudichaudiana
rinum americanum
yppeastrum angustifolium
chinus terenbinthifolius
entella asiatica
ryngium ebracteatum
ryngium eburneum
ryngium ekmanii
ryngium pandanifolium
ydrocotyle ranunculoides
ydrocotyle verticillata
ilaeopsis attenuata
ilaeopsis brasiliensis
ilaeopsis carolinensis
ilaeopsis tenuis
llamanda cathartica
llamanda nobilis
itassa hastata
andevilla clandestina
andevilla hirsuta
andevilla tenuifolia
dontadenia nitida
xypetalum pachyglossum
xypetalum tubatum
habdadenia biflora
habdadenia madida
habdanenia pohlii
locasia macrorrhiza
olocasia esculenta
racontium longipes
andoltia punctata
emna aequinoctialis
emna gibba
emna minuta
emna valdiviana
ontrichardia arborescens
ontrichiardia linifera
hilodendron brasiliense
hilodendron rudgeanum
istia stratioides
pirodela intermedia
rospatha sagittifolia
olffia arrhiza
olffia brasiliensis
olffia columbiana
olffiella lingulata
ollffiella oblonga
olffiella welwitschii
anthosoma aristiguietae
antedeschia aethiopica
ydrocotyle bonariensis
ydrocotyle leucocephala
ydrolotyle pussilla
ydrocotyle ranunculoides
ydrocotyle verticillata
actris maraja
auritia carana
auritiella armata
ristolochia macroura
oullinia montevidensis
canthospermum australe
canthospermum hispidum
chyrocline alata
cilepdopsis echitifolia
cmella uliginosa
denostemma brasilianum
geratum conyzoides
mbrosia artemisiaefolia
ster squamatus
accharis microcephala
accharis penningtonii
accharis spicata
accharis usteri
accharidastrum triplinerve
arrosoa betonicaeformis
idens laevis
lainvillea dichotoma
entratherum punctatum
alea marginata
ampuloclinium purpurascens
haptalia graminifolia
hrysolaena platensis
libadium amanii
onyza bonariensis
onyza sumatrensis
otula coronopifolia
elilia biflora
clipta megapotamica
clipta prostrata
gletes viscosa
lephantopus mollis
milia coccinea
milia sonchifolia
nydra anagallis
nydra radicans
nydra sessilis
nydra virularis
rechtites hieracifolia
rechtites hieracifolius
rechtites valerianifolius
rigeron maximus
upatorium bupleurifolium
upatorium candolleanum
upatorium subhastatum
upatorium tremulum
upatorium tweedianum
amochaeta americana
naphalium spicatum
razielia intermedia
ymnocoronis spilanthoides
aegeria hirta
ungia floribunda
epidaploa chalybaea
essingianthus glabratus
ikania congesta
ikania cordifolia
ikania micrantha
ikania periplocifolia
acourina edulis
icrosia longifolia
luchea sagittalis
raxelis sanctopaulensis
terocaulon balansae
ichterago radiata
olandra fruticosa
enecio bonariensis
