Begonia reniformis,ok
Tanaecium pyramidatum,ok
Heliotropium elongatum,ok
Operculina hamiltonii,ok
Cyperus brevifolius,ok
Cyperus obtusatus,ok
Cyperus rotundus,ok
Dioscorea marginata,ok
Juncus dichotomus,Juncus dichotomus
Salvia arenaria,ok
Utricularia laciniata,ok
Cuphea melvilla,ok
Cuphea sessiliflora,ok
Microlepis oleifolia,Microlepis oleifolia
Psidium acutangulum,ok
Psidium cattleianum,ok
Melasma melampyroides,ok
Brachiaria brizantha,Brachiaria brizantha
Cenchrus purpureus,ok
Gynerium sagittatum,ok
Panicum maximum,Panicum maximum
Panicum mertensii,Panicum mertensii
Panicum sabulorum,Panicum sabulorum
Paspalum trichophyllum,ok
