Justia pectoralis
Hyppeastrum angustifolium
Schinus terenbinthifolius
Rhabdanenia pohlii
Montrichiardia linifera
Xanthosoma aristiguietae
Hydrolotyle pussilla
Acilepdopsis echitifolia
Clibadium amanii
Enydra virularis
Begonia fischeri Schrank
Siphocampylus sulfereus
Callisia filiformis (M.Martens
Commelina diffusa Burm.f.
Commelina erecta
Commelina obliqua Vahl
Anisea cernua
Aniseia martinicensis(Jacq.)
Ipomoea asaralifolia
Ipomoea asarifolia (Desr.)
Costus spirales
Fevillea trilobata
Cyperus fistulosus
Eleocharis umbellata
Oxycaryum cubense (Poepp.
Scleria soronia
Argythamnia heteropetala
Euphorbia hirta L.
Euphorbia hyssopifolia L.
Sesbania schottiana
"Aeschynomene virginica
Neptunia plena (L.)
Senna obtusifolia (L.)
Stylosanthes scabra Vogel
Coutoubea spicata Aubl.
Schultesia gracilis Mart.
Schultesia optera
Najas argurta
Rotala ramosior (L.)
Acisanthera divaricarta
Desmoscelis villosa (Aubl.)
Lavoisiera umbricata
Maicarea radula
Nymphaea amazonum Mart.
"Anacheilium alagoense
Erythrodes pumila
Habenaria graciliscarpa
Passiflora foetida L.
"Piriqueta duarteana
Phyllanthus hyssopifolioloides
Bcopa reflexa
Mecardonia procumbens (Mill.) Small
Echinochloa colona (L.)
"Eragrostis hypnoides
Hymenachne amplexicaulis (Rudge)
Hypoginum virgatum
Leersia hexandra Sw.
Panicum pernambuncense
Paspalidium geminatum (Forssk.)
Sacciolepis myuros (Lam.)
Setaria parviflora (Poir.)
Sporobolus indicus (L.)
Steinchisma decipiens (Nees ex
Trichanthecium cyanenscens
