Nome aceito,Cidade,Estado,País,Latitude,Longitude
Cyperus rigens,Petrolândia,Pernambuco,Brazil,-8.974167,-38.239444
Cyperus rigens,Petrolândia,Pernambuco,Brazil,-8.974167,-38.239444
Limnocharis laforesti,Sinop,Mato Grosso,Brazil,-11.539444,-55.3925
Limnocharis laforesti,,,Costa Rica,8.70083,-83.19556
Limnocharis laforesti,Barão de Melgaço,Mato Grosso,Brazil,-16.588611,-56.280556
Limnocharis laforesti,,Mato Grosso,Brazil,-16.5886,-56.2806
Limnocharis laforesti,Barão de Melgaço,Mato Grosso,Brazil,-16.588611,-56.280556
Limnocharis laforesti,Aquidauana,Mato Grosso do Sul,Brazil,-20.436306,-55.659417
Limnocharis laforesti,,Arauca,Colombia,7.014903,-70.7414
Limnocharis laforesti,Corumbá,Mato Grosso do Sul,Brazil,-19.326353,-57.045725
Limnocharis laforesti,,Arauca,Colombia,7.012133,-70.743564
Limnocharis laforesti,Corguinho,Mato Grosso do Sul,Brazil,,
Limnocharis laforesti,Corumbá,Mato Grosso do Sul,Brazil,,
Limnocharis laforesti,,Paraná,Brazil,,
Limnocharis laforesti,Dourados,Mato Grosso do Sul,Brazil,-22.186444,-54.825361
Limnocharis laforesti,Corumbá,Mato Grosso do Sul,Brazil,-18.482511,-57.019739
Limnocharis laforesti,Bonito,Mato Grosso do Sul,Brazil,-20.898061,-56.529461
Limnocharis laforesti,,Chontales,Nicaragua,12.110278,-84.9225
Limnocharis laforesti,,Chontales,Nicaragua,11.826667,-85.229444
Limnocharis laforesti,,Chontales,Nicaragua,11.921389,-85.426111
Limnocharis laforesti,,Chontales,Nicaragua,12.328611,-85.396667
Limnocharis laforesti,Alto Araguaia,Mato Grosso,Brazil,-17.229731,-53.158303
Limnocharis laforesti,Sinop,Mato Grosso,Brazil,-11.539444,-55.3925
Limnocharis laforesti,,,Costa Rica,8.70083,-83.19556
Limnocharis laforesti,Barão de Melgaço,Mato Grosso,Brazil,-16.588611,-56.280556
Limnocharis laforesti,,Mato Grosso,Brazil,-16.5886,-56.2806
Limnocharis laforesti,Barão de Melgaço,Mato Grosso,Brazil,-16.588611,-56.280556
Limnocharis laforesti,Aquidauana,Mato Grosso do Sul,Brazil,-20.436306,-55.659417
Limnocharis laforesti,,Arauca,Colombia,7.014903,-70.7414
Limnocharis laforesti,Corumbá,Mato Grosso do Sul,Brazil,-19.326353,-57.045725
Limnocharis laforesti,,Arauca,Colombia,7.012133,-70.743564
Limnocharis laforesti,Corguinho,Mato Grosso do Sul,Brazil,,
Limnocharis laforesti,Corumbá,Mato Grosso do Sul,Brazil,,
Limnocharis laforesti,,Paraná,Brazil,,
Limnocharis laforesti,Dourados,Mato Grosso do Sul,Brazil,-22.186444,-54.825361
Limnocharis laforesti,Corumbá,Mato Grosso do Sul,Brazil,-18.482511,-57.019739
Limnocharis laforesti,Bonito,Mato Grosso do Sul,Brazil,-20.898061,-56.529461
Limnocharis laforesti,,Chontales,Nicaragua,12.110278,-84.9225
Limnocharis laforesti,,Chontales,Nicaragua,11.826667,-85.229444
Limnocharis laforesti,,Chontales,Nicaragua,11.921389,-85.426111
Limnocharis laforesti,,Chontales,Nicaragua,12.328611,-85.396667
Limnocharis laforesti,Alto Araguaia,Mato Grosso,Brazil,-17.229731,-53.158303
Trichanthecium parvifolium,,Ogooue-Ivindo,Gabon,-0.18139,12.54639
Trichanthecium parvifolium,Brasília,Distrito Federal,Brazil,0.0,0.0
Trichanthecium parvifolium,Brasília,Distrito Federal,Brazil,0.0,0.0
Trichanthecium parvifolium,Recife,Pernambuco,Brazil,0.0,0.0
Trichanthecium parvifolium,Recife,Pernambuco,Brazil,0.0,0.0
Trichanthecium parvifolium,Recife,Pernambuco,Brazil,0.0,0.0
Trichanthecium parvifolium,,Fianarantsoa,Madagascar,-22.022778,46.949722
Trichanthecium parvifolium,,Fianarantsoa,Madagascar,-22.022778,46.949722
Trichanthecium parvifolium,,Nyanga,Gabon,-3.525283,10.77125
Trichanthecium parvifolium,,Nyanga,Gabon,-3.525283,10.77125
Trichanthecium parvifolium,,Nyanga,Gabon,-3.525283,10.77125
Trichanthecium parvifolium,,Ogooue-Ivindo,Gabon,-0.18139,12.54639
Trichanthecium parvifolium,Brasília,Distrito Federal,Brazil,0.0,0.0
Trichanthecium parvifolium,Brasília,Distrito Federal,Brazil,0.0,0.0
Trichanthecium parvifolium,Recife,Pernambuco,Brazil,0.0,0.0
Trichanthecium parvifolium,Recife,Pernambuco,Brazil,0.0,0.0
Trichanthecium parvifolium,Recife,Pernambuco,Brazil,0.0,0.0
Trichanthecium parvifolium,,Fianarantsoa,Madagascar,-22.022778,46.949722
Trichanthecium parvifolium,,Fianarantsoa,Madagascar,-22.022778,46.949722
Trichanthecium parvifolium,,Nyanga,Gabon,-3.525283,10.77125
Trichanthecium parvifolium,,Nyanga,Gabon,-3.525283,10.77125
Trichanthecium parvifolium,,Nyanga,Gabon,-3.525283,10.77125
Urochloa mutica,,Nickerie,Suriname,5.873944,-56.904111
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Nickerie,Suriname,5.882778,-56.951222
Urochloa mutica,,Nickerie,Suriname,5.882778,-56.951222
Urochloa mutica,,Nickerie,Suriname,5.882778,-56.951222
Urochloa mutica,,Nickerie,Suriname,5.873944,-56.904111
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Maroodi Jeex,Somalia,9.546687,44.046926
Urochloa mutica,,Nickerie,Suriname,5.882778,-56.951222
Urochloa mutica,,Nickerie,Suriname,5.882778,-56.951222
Urochloa mutica,,Nickerie,Suriname,5.882778,-56.951222
Dicliptera ciliaris,Pernambuco,Brasil,-8.31,-36,03/11/1995
Dicliptera ciliaris,Ceará,Brasil,-3.632222,-40.406667,21/08/2015
Dicliptera ciliaris,Ceará,Brasil,-4.209472,-38.974361,27/09/2008
Dicliptera ciliaris,Rio Grande do Norte,Brasil,-6.597778,-37.248889,02/08/2006
Dicliptera ciliaris,Ceará,Brasil,-4.97138977050781,-39.0153007507324,28/06/1955
Dicliptera ciliaris,Ceará,Brasil,-4.97138977050781,-39.0153007507324,24/07/1995
Dicliptera ciliaris,AmapÃ¡,Brasil,3.6,-51.32,13/10/1960
Dicliptera ciliaris,Ceará,Brasil,-7.58249998092651,-39.2980995178223,11/06/1996
Dicliptera ciliaris,Ceará,Brasil,-3.54167008399963,-40.4550018310547,09/07/1983
Dicliptera ciliaris,Bahia,Brazil,-12.1830556,-41.9972222,
Dicliptera ciliaris,Ceará,Brasil,-6.21111011505127,-40.6944007873535,22/05/1982
Dicliptera ciliaris,Bahia,Brasil,-9.41166973114014,-40.4986000061035,10/06/2005
Dicliptera ciliaris,Ceará,Brasil,-7.23416996002197,-39.4094009399414,07/06/2000
Dicliptera ciliaris,Piauí,Brasil,,,15/07/1956
Dicliptera ciliaris,Pernambuco,Brasil,-9.32059722222222,-40.5411527777778,10/09/2008
Dicliptera ciliaris,Pernambuco,Brasil,-8.47027969360352,-35.7285995483398,11/07/1996
Dicliptera ciliaris,Ceará,Brasil,-6.616667,-40.166667,03/07/1996
Dicliptera ciliaris,Pernambuco,Brasil,-8.60111045837402,-38.5685997009277,27/08/1994
Dicliptera ciliaris,Ceará,,-4.064167,-39.9975,20/05/2016
Dicliptera ciliaris,Ceará,Brasil,-5.083333,-40.85,18/07/2001
Dicliptera ciliaris,Ceará,Brasil,-5.183333,-37.816667,16/09/1996
Dicliptera ciliaris,Ceará,Brasil,-5.1783299446106,-40.6775016784668,07/2004
Dicliptera ciliaris,Bahia,Brazil,-12.1830556,-41.9972222,
